State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALSTONVALE,2477,Richmond,,
NSW,ALSTONVILLE,2477,Richmond,,
NSW,ANDERSONS HILL,2482,Richmond,,BRUNSWICK HEADS
NSW,BACK CREEK,2484,Richmond,,
NSW,BALLINA,2478,Richmond,,
NSW,BALLINA HEIGHTS,2478,Richmond,,CUMBALUM
NSW,BANGALOW,2479,Richmond,,
NSW,BANORA POINT,2486,Richmond,,
NSW,BILAMBIL,2486,Richmond,,
NSW,BILAMBIL HEIGHTS,2486,Richmond,,
NSW,BILLINUDGEL,2483,Richmond,,
NSW,BINNA BURRA,2479,Richmond,,
NSW,BOGANGAR,2488,Richmond,,
NSW,BOOYONG,2480,Richmond,,
NSW,BRAY PARK,2484,Richmond,,
NSW,BRAYS CREEK,2484,Richmond,,
NSW,BROKEN HEAD,2481,Richmond,,
NSW,BROOKLET,2479,Richmond,,
NSW,BRUNSWICK HEADS,2483,Richmond,,
NSW,BUNGALORA,2486,Richmond,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BURRINGBAR,2483,Richmond,,
NSW,BYANGUM,2484,Richmond,,
NSW,BYRON BAY,2481,Richmond,,
NSW,BYRRILL CREEK,2484,Richmond,,
NSW,CABARITA BEACH,2488,Richmond,,
NSW,CAROOL,2486,Richmond,,
NSW,CASUARINA,2487,Richmond,,
NSW,CEDAR CREEK,2484,Richmond,,
NSW,CHILLINGHAM,2484,Richmond,,
NSW,CHINDERAH,2487,Richmond,,
NSW,CHOWAN CREEK,2484,Richmond,,
NSW,CLOTHIERS CREEK,2484,Richmond,,
NSW,CLUNES,2480,Richmond,,
NSW,COBAKI,2486,Richmond,,
NSW,COBAKI LAKES,2486,Richmond,,
NSW,COMMISSIONERS CREEK,2484,Richmond,,
NSW,CONDONG,2484,Richmond,,
NSW,COOPERS SHOOT,2479,Richmond,,
NSW,COORABELL,2479,Richmond,,
NSW,CRABBES CREEK,2483,Richmond,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,CRYSTAL CREEK,2484,Richmond,,
NSW,CUDGEN,2487,Richmond,,
NSW,CUDGERA CREEK,2484,Richmond,,
NSW,CUMBALUM,2478,Richmond,,
NSW,DOON DOON,2484,Richmond,,
NSW,DULGUIGAN,2484,Richmond,,
NSW,DUM DUM,2484,Richmond,,
NSW,DUNBIBLE,2484,Richmond,,
NSW,DUNGAY,2484,Richmond,,
NSW,DURANBAH,2487,Richmond,,
NSW,DUROBY,2486,Richmond,,
NSW,DURRUMBUL,2482,Richmond,,MAIN ARM
NSW,EAST BALLINA,2478,Richmond,,
NSW,EMPIRE VALE,2478,Richmond,,
NSW,EUNGELLA,2484,Richmond,,
NSW,EUREKA,2480,Richmond,,
NSW,EVIRON,2484,Richmond,,
NSW,EWINGSDALE,2481,Richmond,,
NSW,FARRANTS HILL,2484,Richmond,,
NSW,FEDERAL,2480,Richmond,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,FERNLEIGH,2479,Richmond,,
NSW,FERNVALE,2484,Richmond,,
NSW,FINGAL HEAD,2487,Richmond,,
NSW,GLENGARRIE,2486,Richmond,,
NSW,GOONENGERRY,2482,Richmond,,
NSW,HASTINGS POINT,2489,Richmond,,
NSW,HAYTERS HILL,2481,Richmond,,
NSW,HOPKINS CREEK,2484,Richmond,,
NSW,HUONBROOK,2482,Richmond,,
NSW,KEITH HALL,2478,Richmond,,
NSW,KIELVALE,2484,Richmond,,
NSW,KINGS FOREST,2487,Richmond,,
NSW,KINGSCLIFF,2487,Richmond,,
NSW,KINVARA,2478,Richmond,,
NSW,KNOCKROW,2479,Richmond,,
NSW,KOONYUM RANGE,2482,Richmond,,
NSW,KUNGHUR,2484,Richmond,,
NSW,KUNGHUR CREEK,2484,Richmond,,
NSW,KYNNUMBOON,2484,Richmond,,
NSW,LENNOX HEAD,2478,Richmond,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,LIMPINWOOD,2484,Richmond,,
NSW,MAIN ARM,2482,Richmond,,
NSW,MCLEODS SHOOT,2479,Richmond,,
NSW,MIDDLE POCKET,2483,Richmond,,
NSW,MIDGINBIL,2484,Richmond,,
NSW,MONTECOLLUM,2482,Richmond,,
NSW,MOOBALL,2483,Richmond,,
NSW,MOUNT BURRELL,2484,Richmond,,
NSW,MOUNT WARNING,2484,Richmond,,
NSW,MULLUMBIMBY,2482,Richmond,,
NSW,MULLUMBIMBY CREEK,2482,Richmond,,
NSW,MURWILLUMBAH,2484,Richmond,,
NSW,MYOCUM,2481,Richmond,,
NSW,NASHUA,2479,Richmond,,
NSW,NEW BRIGHTON,2483,Richmond,,
NSW,NEWRYBAR,2479,Richmond,,
NSW,NIGHTCAP,2482,Richmond,,
NSW,NOBBYS CREEK,2484,Richmond,,
NSW,NORTH ARM,2484,Richmond,,
NSW,NORTH TUMBULGUM,2490,Richmond,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
