State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ABERDARE,2325,Hunter,,
NSW,ABERDEEN,2336,Hunter,,
NSW,ABERNETHY,2325,Hunter,,
NSW,ALLANDALE,2320,Hunter,,
NSW,ANTIENE,2333,Hunter,,MUSWELLBROOK
NSW,APPLETREE FLAT,2330,Hunter,,
NSW,ARCADIA VALE,2283,Hunter,,
NSW,ARGENTON,2284,Hunter,,
NSW,AWABA,2283,Hunter,,
NSW,BAERAMI,2333,Hunter,,
NSW,BAERAMI CREEK,2333,Hunter,,
NSW,BALCOLYN,2264,Hunter,,
NSW,BALMORAL,2283,Hunter,,
NSW,BARNSLEY,2278,Hunter,,
NSW,BELFORD,2335,Hunter,,
NSW,BELLBIRD,2325,Hunter,,
NSW,BELLBIRD HEIGHTS,2325,Hunter,,
NSW,BENGALLA,2333,Hunter,,
NSW,BIG RIDGE,2330,Hunter,,
NSW,BLACKALLS PARK,2283,Hunter,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BOLTON POINT,2283,Hunter,,
NSW,BONNELLS BAY,2264,Hunter,,
NSW,BOORAGUL,2284,Hunter,,
NSW,BOWMANS CREEK,2330,Hunter,,
NSW,BRANXTON,2335,Hunter,,
NSW,BRIDGMAN,2330,Hunter,,
NSW,BRIGHTWATERS,2264,Hunter,,
NSW,BROKE,2330,Hunter,,
NSW,BRUNKERVILLE,2323,Hunter,,
NSW,BUCKETTY,2250,Hunter,,
NSW,BULGA,2330,Hunter,,
NSW,BUREEN,2328,Hunter,,
NSW,BUTTABA,2283,Hunter,,
NSW,CAMBERWELL,2330,Hunter,,
NSW,CAMERON PARK,2285,Hunter,,
NSW,CARDIFF,2285,Hunter,,
NSW,CAREY BAY,2283,Hunter,,
NSW,CARROWBROOK,2330,Hunter,,
NSW,CASTLE ROCK,2333,Hunter,,
NSW,CEDAR CREEK,2325,Hunter,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,CESSNOCK,2325,Hunter,,
NSW,CLYDESDALE,2330,Hunter,,
NSW,COAL POINT,2283,Hunter,,
NSW,COCKLE CREEK,2284,Hunter,,
NSW,COMBO,2330,Hunter,,
NSW,CONGEWAI,2325,Hunter,,
NSW,COORANBONG,2265,Hunter,,
NSW,DAIRY ARM,2325,Hunter,,
NSW,DALSWINTON,2328,Hunter,,
NSW,DALWOOD,2335,Hunter,,
NSW,DARLINGTON,2330,Hunter,,
NSW,DAWSONS HILL,2330,Hunter,,GOORANGOOLA
NSW,DENMAN,2328,Hunter,,
NSW,DORA CREEK,2264,Hunter,,
NSW,DOYLES CREEK,2330,Hunter,,
NSW,DUNBARS CREEK,2333,Hunter,,MCCULLYS GAP
NSW,DUNOLLY,2330,Hunter,,
NSW,DURAL,2330,Hunter,,
NSW,DYRRING,2330,Hunter,,
NSW,EAST BRANXTON,2335,Hunter,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,EDDERTON,2333,Hunter,,
NSW,EDGEWORTH,2285,Hunter,,
NSW,ELDERSLIE,2335,Hunter,,
NSW,ELERMORE VALE,2287,Hunter,,
NSW,ELLALONG,2325,Hunter,,
NSW,ELRINGTON,2325,Hunter,,
NSW,ERARING,2264,Hunter,,
NSW,FALBROOK,2330,Hunter,,
NSW,FASSIFERN,2283,Hunter,,
NSW,FENNELL BAY,2283,Hunter,,
NSW,FERN GULLY,2330,Hunter,,
NSW,FERNANCES CROSSING,2325,Hunter,,
NSW,FISHING POINT,2283,Hunter,,
NSW,FORDWICH,2330,Hunter,,
NSW,FREEMANS WATERHOLE,2323,Hunter,,
NSW,GARLAND VALLEY,2330,Hunter,,
NSW,GIANTS CREEK,2333,Hunter,,
NSW,GLENDALE,2285,Hunter,,
NSW,GLENDON,2330,Hunter,,
NSW,GLENDON BROOK,2330,Hunter,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,GLENNIES CREEK,2330,Hunter,,
NSW,GLENRIDDING,2330,Hunter,,
NSW,GOORANGOOLA,2330,Hunter,,
NSW,GOULDSVILLE,2330,Hunter,,
NSW,GOWRIE,2330,Hunter,,
NSW,GREENLANDS,2330,Hunter,,
NSW,GRETA,2334,Hunter,,
NSW,GRETA MAIN,2325,Hunter,,
NSW,GUNGAL,2333,Hunter,,
NSW,HAMBLEDON HILL,2330,Hunter,,
NSW,HEBDEN,2330,Hunter,,
NSW,HOLLYDEEN,2333,Hunter,,
NSW,HOLMESVILLE,2286,Hunter,,
NSW,HOWES VALLEY,2330,Hunter,,
NSW,HUNTERVIEW,2330,Hunter,,
NSW,JERRYS PLAINS,2330,Hunter,,
NSW,KAYUGA,2333,Hunter,,
NSW,KEARSLEY,2325,Hunter,,
NSW,KEINBAH,2320,Hunter,,
NSW,KERRABEE,2328,Hunter,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,KILABEN BAY,2283,Hunter,,
NSW,KILLINGWORTH,2278,Hunter,,
NSW,KITCHENER,2325,Hunter,,
NSW,LAGUNA,2325,Hunter,,
NSW,LAMBS VALLEY,2335,Hunter,,
NSW,LECONFIELD,2335,Hunter,,
NSW,LEMINGTON,2330,Hunter,,
NSW,LIDDELL,2333,Hunter,,
NSW,LONG POINT,2330,Hunter,,
NSW,LOVEDALE,2325,Hunter,,
NSW,LOWER BELFORD,2335,Hunter,,
NSW,MAISON DIEU,2330,Hunter,,
NSW,MANDALONG,2264,Hunter,,
NSW,MANGOOLA,2328,Hunter,,
NSW,MANOBALAI,2333,Hunter,,
NSW,MARMONG POINT,2284,Hunter,,
NSW,MARTINDALE,2328,Hunter,,
NSW,MARTINSVILLE,2265,Hunter,,
NSW,MCCULLYS GAP,2333,Hunter,,
NSW,MCDOUGALLS HILL,2330,Hunter,,
...678910,...678910,...678910,...678910,...678910,...678910
...,6,7,8,9,10
NSW,MIDDLE FALBROOK,2330,Hunter,,
NSW,MILBRODALE,2330,Hunter,,
NSW,MILLFIELD,2325,Hunter,,
NSW,MILSONS ARM,2325,Hunter,,
NSW,MIRANNIE,2330,Hunter,,
NSW,MIRRABOOKA,2264,Hunter,,
NSW,MITCHELLS FLAT,2330,Hunter,,
NSW,MORISSET,2264,Hunter,,
NSW,MORISSET PARK,2264,Hunter,,
NSW,MOUNT OLIVE,2330,Hunter,,
NSW,MOUNT ROYAL,2330,Hunter,,
NSW,MOUNT SIMPSON,2250,Hunter,,
NSW,MOUNT THORLEY,2330,Hunter,,
NSW,MOUNT VIEW,2325,Hunter,,
NSW,MOUNT VINCENT,2323,Hunter,,
NSW,MULBRING,2323,Hunter,,
NSW,MURRAYS RUN,2325,Hunter,,
NSW,MUSCLE CREEK,2333,Hunter,,
NSW,MUSWELLBROOK,2333,Hunter,,
NSW,MYAMBAT,2328,Hunter,,DENMAN
...678910,...678910,...678910,...678910,...678910,...678910
...,6,7,8,9,10
NSW,MYUNA BAY,2264,Hunter,,
NSW,NORTH ROTHBURY,2335,Hunter,,
NSW,NULKABA,2325,Hunter,,
NSW,OBANVALE,2330,Hunter,,
NSW,PAXTON,2325,Hunter,,
NSW,PAYNES CROSSING,2325,Hunter,,
NSW,PELTON,2325,Hunter,,
NSW,POKOLBIN,2320,Hunter,,
NSW,PUTTY,2330,Hunter,,
NSW,QUORROBOLONG,2325,Hunter,,
NSW,RATHMINES,2283,Hunter,,
NSW,RAVENSWORTH,2330,Hunter,,
NSW,REDBOURNBERRY,2330,Hunter,,
NSW,REEDY CREEK,2330,Hunter,,
NSW,RICHMOND VALE,2323,Hunter,,
NSW,RIXS CREEK,2330,Hunter,,
NSW,ROTHBURY,2320,Hunter,,
NSW,ROUCHEL BROOK,2336,Hunter,,
NSW,ROUGHIT,2330,Hunter,,
NSW,RYHOPE,2283,Hunter,,
...678910,...678910,...678910,...678910,...678910,...678910
...,6,7,8,9,10
NSW,SANDY HOLLOW,2333,Hunter,,
NSW,SCOTTS FLAT,2330,Hunter,,
NSW,SEAHAMPTON,2286,Hunter,,
NSW,SEDGEFIELD,2330,Hunter,,
NSW,SILVERWATER,2264,Hunter,,
NSW,SINGLETON,2330,Hunter,,
NSW,SINGLETON HEIGHTS,2330,Hunter,,
NSW,SINGLETON MILITARY AREA,2331,Hunter,,
NSW,ST CLAIR,2330,Hunter,,
NSW,STANHOPE,2335,Hunter,,
NSW,SUNSHINE,2264,Hunter,,
NSW,SWEETMANS CREEK,2325,Hunter,,
NSW,TERALBA,2284,Hunter,,
NSW,TOMALPIN,2326,Hunter,,
NSW,TORONTO,2283,Hunter,,
NSW,UPPER HEBDEN,2330,Hunter,,
NSW,WAKEFIELD,2278,Hunter,,
NSW,WALLSEND,2287,Hunter,,
NSW,WANGI WANGI,2267,Hunter,,
NSW,WARKWORTH,2330,Hunter,,
...678910,...678910,...678910,...678910,...678910,...678910
...,6,7,8,9,10
NSW,WATAGAN,2325,Hunter,,
NSW,WATTLE PONDS,2330,Hunter,,
NSW,WEST WALLSEND,2286,Hunter,,
NSW,WESTBROOK,2330,Hunter,,
NSW,WHITTINGHAM,2330,Hunter,,
NSW,WIDDEN,2328,Hunter,,
NSW,WINDERMERE PARK,2264,Hunter,,
NSW,WOLLOMBI,2325,Hunter,,
NSW,WOODRISING,2284,Hunter,,
NSW,WYBONG,2333,Hunter,,
