State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,AMBERLEY,4306,Blair,,
QLD,ASHWELL,4340,Blair,,
QLD,ATKINSONS DAM,4311,Blair,,
QLD,AVOCA VALE,4314,Blair,,
QLD,BANKS CREEK,4306,Blair,,
QLD,BARELLAN POINT,4306,Blair,,
QLD,BASIN POCKET,4305,Blair,,
QLD,BERGINS HILL,4304,Blair,,BUNDAMBA
QLD,BIARRA,4313,Blair,,
QLD,BLACKSOIL,4306,Blair,,
QLD,BLACKSTONE,4304,Blair,,
QLD,BOOVAL,4304,Blair,,
QLD,BORALLON,4306,Blair,,
QLD,BRAEMORE,4313,Blair,,
QLD,BRASSALL,4305,Blair,,
QLD,BRIGHTVIEW,4311,Blair,,
QLD,BRYDEN,4312,Blair,,
QLD,BUARABA,4311,Blair,,
QLD,BUNDAMBA,4304,Blair,,
QLD,CABOONBAH,4312,Blair,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,CALVERT,4340,Blair,,
QLD,CHURCHILL,4305,Blair,,
QLD,CHUWAR,4306,Blair,,
QLD,CLARENDON,4311,Blair,,
QLD,COAL CREEK,4312,Blair,,
QLD,COALFALLS,4305,Blair,,
QLD,COLINTON,4314,Blair,,
QLD,COLLINGWOOD PARK,4301,Blair,,
QLD,COOEEIMBARDI,4313,Blair,,
QLD,COOLANA,4311,Blair,,
QLD,COOMINYA,4311,Blair,,
QLD,CRESSBROOK,4313,Blair,,
QLD,CROSSDALE,4312,Blair,,
QLD,DEEBING HEIGHTS,4306,Blair,,
QLD,DENMARK HILL,4305,Blair,,IPSWICH
QLD,DINMORE,4303,Blair,,
QLD,DUNDAS,4306,Blair,,
QLD,EAST IPSWICH,4305,Blair,,
QLD,EASTERN HEIGHTS,4305,Blair,,
QLD,EBBW VALE,4304,Blair,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,EBENEZER,4340,Blair,,
QLD,ENGLAND CREEK,4306,Blair,,
QLD,ESK,4312,Blair,,
QLD,ESKDALE,4312,Blair,,
QLD,FAIRNEY VIEW,4306,Blair,,
QLD,FERNVALE,4306,Blair,,
QLD,FLINDERS VIEW,4305,Blair,,
QLD,FULHAM,4313,Blair,,
QLD,GLAMORGAN VALE,4306,Blair,,
QLD,GLEN ESK,4312,Blair,,
QLD,GLENFERN,4515,Blair,,
QLD,GOOLMAN,4306,Blair,,
QLD,GRANDCHESTER,4340,Blair,,
QLD,GREGORS CREEK,4313,Blair,,
QLD,HAIGSLEA,4306,Blair,,
QLD,HARLIN,4314,Blair,,
QLD,HAZELDEAN,4515,Blair,,
QLD,IPSWICH,4305,Blair,,
QLD,IRONBARK,4306,Blair,,
QLD,IVORY CREEK,4313,Blair,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,JEEBROPILLY,4340,Blair,,
QLD,JIMNA,4515,Blair,,
QLD,KARALEE,4306,Blair,,
QLD,KARANA DOWNS,4306,Blair,,
QLD,KARRABIN,4306,Blair,,
QLD,KHOLO,4306,Blair,,
QLD,KILCOY,4515,Blair,,
QLD,KINGAHAM,4515,Blair,,
QLD,LAKE MANCHESTER,4306,Blair,,
QLD,LANEFIELD,4340,Blair,,
QLD,LARK HILL,4306,Blair,,
QLD,LEICHHARDT,4305,Blair,,
QLD,LINVILLE,4314,Blair,,
QLD,LOCKROSE,4342,Blair,,
QLD,LOWER CRESSBROOK,4313,Blair,,
QLD,LOWER MOUNT WALKER,4340,Blair,,
QLD,LOWOOD,4311,Blair,,
QLD,MARBURG,4346,Blair,,
QLD,MINDEN,4311,Blair,,
QLD,MONSILDALE,4515,Blair,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,MOOMBRA,4312,Blair,,
QLD,MOORE,4314,Blair,,
QLD,MOORES POCKET,4305,Blair,,
QLD,MOUNT ARCHER,4514,Blair,,
QLD,MOUNT BEPPO,4313,Blair,,
QLD,MOUNT BYRON,4312,Blair,,
QLD,MOUNT CROSBY,4306,Blair,,
QLD,MOUNT FORBES,4340,Blair,,
QLD,MOUNT HALLEN,4312,Blair,,
QLD,MOUNT KILCOY,4515,Blair,,
QLD,MOUNT MARROW,4306,Blair,,
QLD,MOUNT MORT,4340,Blair,,
QLD,MOUNT STANLEY,4314,Blair,,
QLD,MOUNT TARAMPA,4311,Blair,,
QLD,MOUNT WALKER WEST,4340,Blair,,
QLD,MUIRLEA,4306,Blair,,
QLD,MURRUMBA,4312,Blair,,
QLD,MUTDAPILLY,4307,Blair,,
QLD,NEW CHUM,4303,Blair,,
QLD,NEWTOWN,4305,Blair,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,NORTH BOOVAL,4304,Blair,,
QLD,NORTH IPSWICH,4305,Blair,,
QLD,NORTH TIVOLI,4305,Blair,,
QLD,ONE MILE,4305,Blair,,
QLD,OTTABA,4313,Blair,,
QLD,PATRICK ESTATE,4311,Blair,,
QLD,PEAK CROSSING,4306,Blair,,
QLD,PINE MOUNTAIN,4306,Blair,,
QLD,PRENZLAU,4311,Blair,,
QLD,PURGA,4306,Blair,,
QLD,RACEVIEW,4305,Blair,,
QLD,RAYMONDS HILL,4305,Blair,,BRASSALL
QLD,RAYMONDS HILL,4305,Blair,,NORTH IPSWICH
QLD,REDBANK CREEK,4312,Blair,,
QLD,REDBANK PLAINS,4301,Blair,,
QLD,RIFLE RANGE,4311,Blair,,
QLD,RIPLEY,4306,Blair,,
QLD,RIVERVIEW,4303,Blair,,
QLD,ROSEWOOD,4340,Blair,,
QLD,ROYSTON,4515,Blair,,
...45678,...45678,...45678,...45678,...45678,...45678
...,4,5,6,7,8
QLD,SADLIERS CROSSING,4305,Blair,,
QLD,SANDY CREEK,4515,Blair,,
QLD,SCRUB CREEK,4313,Blair,,
QLD,SHEEP STATION CREEK,4515,Blair,,
QLD,SILKSTONE,4304,Blair,,
QLD,SOMERSET DAM,4312,Blair,,
QLD,SOUTH RIPLEY,4306,Blair,,
QLD,SPLIT YARD CREEK,4306,Blair,,
QLD,SPRING MOUNTAIN,4300,Blair,,
QLD,SPRINGFIELD CENTRAL,4300,Blair,,
QLD,SPRINGFIELD LAKES,4300,Blair,,
QLD,SWANBANK,4306,Blair,,
QLD,TALLEGALLA,4340,Blair,,
QLD,TARAMPA,4311,Blair,,
QLD,THAGOONA,4306,Blair,,
QLD,THE BLUFF,4340,Blair,,
QLD,TIVOLI,4305,Blair,,
QLD,TIVOLI HILL,4305,Blair,,TIVOLI
QLD,TOOGOOLAWAH,4313,Blair,,
QLD,VERNOR,4306,Blair,,
...45678,...45678,...45678,...45678,...45678,...45678
...,4,5,6,7,8
QLD,VILLENEUVE,4514,Blair,,
QLD,WALLOON,4306,Blair,,
QLD,WANORA,4306,Blair,,
QLD,WEST IPSWICH,4305,Blair,,
QLD,WHITE ROCK,4306,Blair,,
QLD,WILLOWBANK,4306,Blair,,
QLD,WINYA,4515,Blair,,
QLD,WIVENHOE HILL,4311,Blair,,
QLD,WIVENHOE POCKET,4306,Blair,,
QLD,WOODEND,4305,Blair,,
QLD,WOOLMAR,4515,Blair,,
QLD,WOOLSHED,4340,Blair,,
QLD,WULKURAKA,4305,Blair,,
QLD,YAMANTO,4305,Blair,,
QLD,YIMBUN,4313,Blair,,
...45678,...45678,...45678,...45678,...45678,...45678
...,4,5,6,7,8
