id,locality_suburb
1,10 Mile
2,10 Mile Outstation
3,11 Mile
4,15 Mile
5,4 Mile Camp
6,5 Mile Bore
7,Aarons Pass
8,Abba River
9,Abbey
10,Abbeyard
11,Abbeywood
12,Abbots Camp
13,Abbotsbury
14,Abbotsford
15,Abbotsham
16,Abels Bay
17,Abercorn
18,Abercrombie
19,Abercrombie River
20,Aberdare
21,Aberdeen
22,Aberfeldie
23,Aberfeldy
24,Aberfoyle
25,Aberfoyle Park
26,Aberglasslyn
27,Abergowrie
28,Abermain
29,Abernethy
30,Abington
31,Acacia Creek
32,Acacia Gardens
33,Acacia Hills
34,Acacia Larrakia
35,Acacia Ridge
36,Acheron
37,Acland
38,Acton
39,Acton Park
40,Ada
41,Adaminaby
42,Adams Estate
43,Adamstown
44,Adamstown Heights
45,Adamsvale
46,Adare
47,Adavale
48,Adbanae
49,Adder Stn
50,Addington
51,Adelaide
52,Adelaide Airport
53,Adelaide Bore
54,Adelaide Lead
55,Adelaide Park
56,Adelaide River
57,Adelong
58,Adjamarragu
59,Adjungbilly
60,Advancetown
61,Adventure Bay
62,Aeroglen
63,Afterlee
64,Agate Creek
65,Agery
66,Agnes
67,Agnes Banks
68,Agnes Water
69,Aileron
70,Aileron Stn
71,Ainslie
72,Aintree
73,Airdmillan
74,Airds
75,Aireys Inlet
76,Airlie Beach
77,Airly
78,Airport West
79,Airville
80,Aitkenvale
81,Ajana
82,Akanta
83,Akarnenehe Well
84,Akaroa
85,Akngwertnarre
86,Akolele
87,Akuna Bay
88,Akwalirrumanja
89,Alabama Hill
90,Alamein
91,Alamirra
92,Alanvale
93,Alatyeye
94,Alawa
95,Alawoona
96,Albacutya
97,Albanvale
98,Albany
99,Albany Creek
100,Albany Park
101,Albert
102,Albert Park
103,Alberta
104,Alberton
105,Alberton West
106,Albinia
107,Albion
108,Albion Park
109,Albion Park Rail
110,Albury
111,Alcomie
112,Alcoota Stn
113,Aldavilla
114,Alderley
115,Aldershot
116,Aldersyde
117,Aldgate
118,Aldinga
119,Aldinga Beach
120,Aldoga
121,Alectown
122,Alekerunge
123,Alexander Heights
124,Alexandra
125,Alexandra Bridge
126,Alexandra Headland
127,Alexandra Hills
128,Alexandria
129,Alexandria Stn
130,Alford
131,Alfords Point
132,Alfred Cove
133,Alfredton
134,Alfredtown
135,Algester
136,Alharrgan
137,Ali Curung
138,Alice
139,Alice Creek
140,Alice River
141,Alice Springs
142,Alice Well
143,Alinjirri Warnkkar
144,Alison
145,Alkimos
146,Alkipi
147,Alkngarriintja
148,Alkuptija
149,Alkuralkwa
150,Allambee
151,Allambee Reserve
152,Allambee South
153,Allambi Stn
154,Allambie
155,Allambie Heights
156,Allan
157,Allandale
158,Allandale Station
159,Allanooka
160,Allans Flat
161,Allansford
162,Allanson
163,Allawah
164,Alleena
165,Allenby Gardens
166,Allendale
167,Allendale East
168,Allendale North
169,Allens Rivulet
170,Allenstown
171,Allenview
172,Allestree
173,Allgomera
174,Alligator Creek
175,Allingham
176,Allora
177,Alloway
178,Allworth
179,Allynbrook
180,Alma
181,Alma Park
182,Almaden
183,Almonds
184,Almurta
185,Alonnah
186,Aloomba
187,Alpara
188,Alpha
189,Alphington
190,Alpine
191,Alpurrurulam
192,Alroy Downs Stn
193,Alsace
194,Alstonvale
195,Alstonville
196,Alton Downs
197,Altona
198,Altona East
199,Altona Gate
200,Altona Meadows
201,Altona North
202,Alum
203,Alumy Creek
204,Aluralka
205,Alva
206,Alvie
207,Alyangula
208,Alyingberrma
209,Alyuen
210,Amalilpil
211,Amamoor
212,Amamoor Creek
213,Amanbidji
214,Amanburnunga
215,Amangal
216,Amaroo
217,Amata
218,Amatjatpalk
219,Ambalindum Stn
220,Ambania
221,Ambarvale
222,Ambergate
223,Amberley
224,Ambleside
225,Ambrose
226,Amburla Stn
227,Amby
228,Amelup
229,Amengernterneah
230,American Beach
231,American River
232,Amherst
233,Amiens
234,Amirraba
235,Amity
236,Ammaroo Stn
237,Amoonguna
238,Amor
239,Amosfield
240,Amphitheatre
241,Ampilatwatja
242,Amputjuta
243,Amundurngua
244,Amundurrngu Spring
245,Amungee Mungee Stn
246,Amyton
247,Anabranch North
248,Anabranch South
249,Anakie
250,Anakie Siding
251,Anama
252,Anambah
253,Anapala
254,Ancona
255,Andado Stn
256,Andamooka
257,Andanangki
258,Andergrove
259,Anderleigh
260,Anderson
261,Andersons Hill
262,Ando
263,Andover
264,Andrews
265,Andrews Farm
266,Andromache
267,Anduramba
268,Anembo
269,Angas Downs
270,Angas Plains
271,Angas Valley
272,Angaston
273,Angatyepe
274,Angawangere
275,Angelo River
276,Angkarripa
277,Angkerle Arrenge A
278,Angkerle Arrenge B
279,Angle Park
280,Angle Vale
281,Angledale
